0 0.000000
2000 0.017000
4000 0.094000
6000 0.271000
8000 0.300000
10000 0.375000
12000 0.364000
14000 0.382000
16000 0.424000
18000 0.486000
20000 0.499000
22000 0.542000
24000 0.636000
26000 0.644000
28000 0.744000
30000 0.706000
32000 0.749000
34000 0.772000
36000 0.826000
38000 0.840000
40000 0.869000
42000 0.932000
44000 0.901000
46000 0.931000
48000 1.004000
50000 1.059000
52000 1.101000
54000 1.088000
56000 1.131000
58000 1.142000
60000 1.136000
62000 1.154000
64000 1.143000
66000 1.267000
68000 1.346000
70000 1.407000
72000 1.547000
74000 1.272000
76000 1.387000
78000 1.327000
80000 1.335000
82000 1.404000
84000 1.417000
86000 1.336000
88000 1.412000
90000 1.372000
92000 1.456000
94000 1.485000
96000 1.450000
98000 1.524000
100000 1.620000
