0 0.000000
2000 0.014000
4000 0.011000
6000 0.022000
8000 0.028000
10000 0.042000
12000 0.037000
14000 0.040000
16000 0.024000
18000 0.047000
20000 0.027000
22000 0.043000
24000 0.034000
26000 0.059000
28000 0.042000
30000 0.059000
32000 0.047000
34000 0.042000
36000 0.046000
38000 0.052000
40000 0.051000
42000 0.056000
44000 0.052000
46000 0.054000
48000 0.077000
50000 0.062000
52000 0.064000
54000 0.061000
56000 0.056000
58000 0.063000
60000 0.053000
62000 0.060000
64000 0.073000
66000 0.055000
68000 0.068000
70000 0.074000
72000 0.083000
74000 0.064000
76000 0.066000
78000 0.058000
80000 0.069000
82000 0.064000
84000 0.067000
86000 0.065000
88000 0.066000
90000 0.071000
92000 0.079000
94000 0.066000
96000 0.077000
98000 0.083000
100000 0.073000
